mesh,err_fo,err_tvd,err_weno
20,0.013601556366890945,0.013940348518307957,0.00025063172470277817
40,0.008115386069594357,0.0024294583531440633,0.00003218798281753242
80,0.002243918211706766,0.0003986391625980533,4.077009618932287e-6
160,0.0008738416548118514,0.00007866041748029035,5.13563499545972e-7
320,0.0004704818157894079,0.00001687401736225003,6.446918624003808e-8
640,0.00023442416592749828,3.9108822347675015e-6,8.073870475849484e-9
1280,0.00011685276360386678,9.635388696543842e-7,1.0085730037443758e-9
2560,0.00005816390989403535,2.428262378827383e-7,1.243749623476677e-10
