mesh,err_fo,err_tvd,err_weno
20,0.06484021739417976,0.09196509199959492,0.014917495243160082
40,0.04277188832524612,0.03636066541017674,0.0018499137137741111
80,0.02142711824311736,0.0112299289781989,0.00022987719202143683
160,0.01149854554647559,0.0031614295905149827,0.000028693296949154408
320,0.005753819403624608,0.0008420239791893221,3.585765772869439e-6
640,0.0029274364590791756,0.00022107893222664602,4.4814466652149714e-7
1280,0.001464031386941269,0.00005700119454060938,5.601288846152679e-8
2560,0.0007351954736980274,0.000014544803449582364,7.001840510185305e-9
