mesh,err
50,0.00016903877057406063
100,0.000026173970764966983
150,0.00003102515643957507
200,0.000026828091720219085
250,0.000022779360754872745
300,0.000019579003512978442
350,0.00001709029724473148
400,0.000015128779100367633
