mesh,err_fo,err_tvd,err_weno
20,0.05346994058513504,0.037701285118101086,0.0176251896909076
40,0.027420590111859086,0.03587478064070534,0.008650741412560167
80,0.013824334996661147,0.012583814954016807,0.00427009599742467
160,0.006930689784197023,0.006273693792355412,0.0021090760281143547
320,0.0034558890921609826,0.003348128595397835,0.001035639370683172
640,0.0017135461391864929,0.001985068987910906,0.0005006121311300501
1280,0.0008406884154201858,0.0007428684277181497,0.000233501555878055
2560,0.00040380360846021575,0.00031986671276353984,0.00010003888951050763
