x,u_initial,u_final
0.15075,0.8117775402930911,0.5605151384445634
0.15125,0.8136081149177465,0.5622256049488268
0.15175,0.8154306595587746,0.5639344901283291
0.15225,0.8172451562283956,0.5656417868836445
0.15275,0.8190515870182598,0.567347488093381
0.15325,0.8208499340996245,0.5690515866140442
0.15375,0.8226401797235302,0.5707540752798986
0.15425,0.8244223062209755,0.5724549469028289
0.15475,0.8261962960030909,0.5741541942721998
0.15525,0.8279621315613138,0.5758518101547154
0.15575,0.8297197954675601,0.5775477872942776
0.15625,0.8314692703743966,0.5792421184118425
0.15675,0.833210539015212,0.5809347962052782
0.15725,0.8349435842043881,0.5826258133492193
0.15775,0.8366683888374685,0.5843151624949235
0.15825,0.8383849358913279,0.5860028362701233
0.15875,0.8400932084243397,0.5876888272788794
0.15925,0.8417931895765435,0.5893731281014327
0.15975,0.8434848625698119,0.5910557312940551
0.16025,0.8451682107080154,0.5927366293888999
0.16075,0.8468432173771875,0.5944158148938498
0.16125,0.8485098660456883,0.5960932802923655
0.16175,0.8501681402643688,0.5977690180433335
0.16225,0.8518180236667316,0.5994430205809106
0.16275,0.8534594999690934,0.6011152803143699
0.16325,0.8550925529707465,0.602785789627945
0.16375,0.8567171665541162,0.6044545408806722
0.16425,0.8583333246849228,0.6061215264062326
0.16475,0.8599410114123381,0.6077867385127933
0.16525,0.8615402108691429,0.609450169482848
0.16575,0.8631309072718842,0.6111118115730539
0.16625,0.8647130849210309,0.6127716570140715
0.16675,0.8662867282011283,0.6144296980104007
0.16725,0.8678518215809521,0.6160859267402155
0.16775,0.8694083496136632,0.6177403353551991
0.16825,0.8709562969369579,0.6193929159803778
0.16875,0.872495648273221,0.6210436607139525
0.16925,0.8740263884296764,0.6226925616271305
0.16975,0.8755485022985368,0.6243396107639554
0.17025,0.8770619748571528,0.6259848001411359
0.17075,0.878566791168161,0.627628121747873
0.17125,0.8800629363796323,0.6292695675456881
0.17175,0.8815503957252172,0.6309091294682468
0.17225000000000001,0.8830291545242926,0.6325467994211847
0.17275000000000001,0.8844991981821062,0.6341825692819293
0.17325000000000002,0.8859605121899206,0.6358164308995216
0.17375000000000002,0.8874130821251562,0.6374483760944384
0.17425000000000002,0.8888568936515345,0.6390783966584099
0.17475000000000002,0.8902919325192185,0.6407064843542388
0.17525000000000002,0.8917181845649539,0.6423326309156178
0.17575000000000002,0.893135635712209,0.6439568280469439
0.17625,0.8945442719713128,0.6455790674231338
0.17675,0.8959440794395945,0.6471993406894376
0.17725,0.8973350443015192,0.648817639461249
0.17775,0.8987171528288258,0.650433955323917
0.17825,0.9000903913806606,0.6520482798325549
0.17875,0.9014547464037138,0.6536606045118486
0.17925,0.9028102044323516,0.6552709208558628
0.17975,0.9041567520887512,0.656879220327846
0.18025,0.9054943760830305,0.6584854943600353
0.18075,0.9068230632133809,0.6600897343534577
0.18125,0.9081428003661964,0.661691931677733
0.18175,0.9094535745162046,0.6632920776708712
0.18225,0.9107553727265932,0.664890163639073
0.18275,0.9120481821491401,0.6664861808565258
0.18325,0.913331990024338,0.6680801205651993
0.18375,0.9146067836815213,0.6696719739746388
0.18425,0.9158725505389912,0.6712617322617597
0.18475,0.9171292781041402,0.6728493865706361
0.18525,0.9183769539735742,0.6744349280122925
0.18575,0.9196155658332364,0.6760183476644918
0.18625,0.9208451014585276,0.6775996365715199
0.18675,0.9220655487144276,0.6791787857439737
0.18725,0.9232768955556149,0.6807557861585423
0.18775,0.9244791300265848,0.6823306287577904
0.18825,0.9256722402617686,0.6839033044499381
0.18875,0.9268562144856501,0.6854738041086403
0.18925,0.9280310410128818,0.6870421185727631
0.18975,0.9291967082483997,0.6886082386461607
0.19025,0.9303532046875393,0.6901721550974482
0.19075,0.9315005189161474,0.6917338586597747
0.19125,0.9326386396106957,0.693293340030594
0.19175,0.9337675555383924,0.6948505898714337
0.19225,0.9348872555572934,0.6964055988076621
0.19275,0.9359977286164112,0.6979583574282555
0.19325,0.9370989637558249,0.6995088562855596
0.19375,0.9381909501067888,0.701057085895054
0.19425,0.9392736768918379,0.7026030367351119
0.19475,0.9403471334248964,0.7041466992467587
0.19525,0.9414113091113815,0.7056880638334284
0.19575,0.9424661934483086,0.707227120860721
0.19625,0.9435117760243955,0.7087638606561535
0.19675,0.9445480465201641,0.7102982735089124
0.19725,0.9455749947080432,0.7118303496696036
0.19775,0.9465926104524683,0.7133600793499995
0.19825,0.9476008837099833,0.7148874527227856
0.19875,0.9485998045293379,0.7164124599213054
0.19925,0.9495893630515873,0.7179350910392998
0.19975,0.9505695495101878,0.7194553361306502
0.20025,0.9515403542310954,0.7209731852091155
0.20075,0.9525017676328589,0.7224886282480685
0.20125,0.9534537802267165,0.7240016551802297
0.20175,0.954396382616688,0.7255122558974014
0.20225,0.9553295654996685,0.7270204202501959
0.20275,0.9562533196655197,0.7285261380477648
0.20325000000000001,0.9571676359971609,0.7300293990575252
0.20375000000000001,0.9580725054706591,0.7315301930048838
0.20425000000000001,0.9589679191553178,0.7330285095729576
0.20475000000000002,0.9598538682137653,0.7345243384022963
0.20525000000000002,0.9607303439020424,0.7360176690905977
0.20575000000000002,0.9615973375696875,0.7375084911924251
0.20625000000000002,0.9624548406598235,0.7389967942189194
0.20675000000000002,0.9633028447092409,0.7404825676375105
0.20725000000000002,0.964141341348482,0.7419658008716274
0.20775000000000002,0.9649703223019237,0.7434464833004031
0.20825,0.9657897793878586,0.7449246042583809
0.20875,0.9665997045185759,0.7464001530352157
0.20925,0.9674000897004418,0.7478731188753736
0.20975,0.9681909270339776,0.7493434909778304
0.21025,0.9689722087139381,0.7508112584957657
0.21075,0.9697439270293884,0.7522764105362569
0.21125,0.9705060743637804,0.7537389361599683
0.21175,0.9712586431950276,0.7551988243808401
0.21225,0.9720016260955794,0.7566560641657747
0.21275,0.9727350157324944,0.7581106444343176
0.21325,0.9734588048675135,0.75956255405834
0.21375,0.9741729863571296,0.7610117818617154
0.21425,0.9748775531526599,0.7624583166199966
0.21475,0.9755724983003146,0.7639021470600884
0.21525,0.9762578149412656,0.7653432618599169
0.21575,0.9769334963117146,0.7667816496480986
0.21625,0.9775995357429587,0.7682172990036049
0.21675,0.978255926661458,0.7696501984554249
0.21725,0.9789026625888989,0.7710803364822252
0.21775,0.9795397371422591,0.7725077015120059
0.21825,0.98016714403387,0.7739322819217572
