x,u_initial,u_final,u_analytical
0.00125,0.007853820144167625,-0.00785401228210464,-0.007853900888711166
0.00375,0.023559522619901546,-0.02356008799063641,-0.023559764833609453
0.00625,0.039259412135957704,-0.03926035059999371,-0.03925981575906826
0.00875,0.0549496149795205,-0.054950926305305715,-0.05495017991244575
0.01125,0.07062625982781581,-0.0706279436918002,-0.0706269859311666
0.01375,0.08628547870330204,-0.08628753469001778,-0.08628636579792276
0.01625,0.10192340792803566,-0.1019258355301984,-0.10192445579504979
0.01875,0.1175361890769757,-0.11753898769561068,-0.11753739745783774
0.02125,0.13311996992999273,-0.13312313887458274,-0.13312133852655236
0.02375,0.14867090542234634,-0.14867444391100054,-0.14867243389692247
0.02625,0.16418515859339755,-0.16418906575304842,-0.16418684656886276
0.02875,0.1796589015333211,-0.17966317639993623,-0.17966074859319273
0.03125,0.1950883163275851,-0.1950929578464048,-0.19509032201612836
0.03375,0.21046959599896448,-0.21047460302476226,-0.21047175982130523
0.03625,0.22579894544685522,-0.22580431674422147,-0.2258012668691036
0.03875,0.2410725823836591,-0.24107831662730708,-0.24107506083303892
0.04125,0.25628673826800635,-0.2562928340430957,-0.2562893731329964
0.043750000000000004,0.27143765923458674,-0.2714441150370776,-0.27144044986507393
0.04625,0.2865216070203598,-0.2865284212573832,-0.2865245527277983
0.04875,0.3015348598869155,-0.3015420308771601,-0.301537959944496
0.051250000000000004,0.3164737135387571,-0.3164812395128859,-0.3164769671815859
0.05375,0.3313344820372807,-0.3313423611383719,-0.33133788846257073
0.05625,0.346113498710226,-0.34612172899422694,-0.3461170570774931
0.058750000000000004,0.360807117056372,-0.36081569649258516,-0.3608108264876422
0.06125,0.375411711645257,-0.3754206381168337,-0.37541557122528296
0.06375,0.38992367901169966,-0.3899329503161661,-0.3899276877881881
0.06625,0.40433943854489945,-0.40434905239470126,-0.40434359552874516
0.06875,0.4186554333718991,-0.4186653873949658,-0.41865973753742775
0.07125000000000001,0.43286813123519,-0.43287842297551316,-0.4328725815204139
0.07375,0.44697402536424347,-0.44698465228248857,-0.44697862067112104
0.07625,0.46096963534075425,-0.46098059481488973,-0.4609743745354618
0.07875,0.47485150795738146,-0.47486279728331954,-0.47485638987059436
0.08125,0.48861621806977584,-0.48862783446204716,-0.488621241496955
0.08375,0.5022603694416828,-0.5022723100341171,-0.5022655331433725
0.08625000000000001,0.5157805955829133,-0.515792857429349,-0.515785898285047
0.08875,0.5291735605799744,-0.5291861406549837,-0.5291790009741905
0.09125,0.5424359599191565,-0.5424488551187897,-0.5424415366631189
0.09375,0.5555645213018718,-0.5555777284444282,-0.555570233019602
0.09625,0.5685560054520465,-0.5685695212788642,-0.5685618507342636
0.09875,0.5814072069153619,-0.5814210280916106,-0.5814131843198305
0.10125,0.5941149548501538,-0.5941290779656649,-0.5941210629020387
0.10375000000000001,0.6066761138097692,-0.6066905353798754,-0.6066823510019994
0.10625,0.6190875845161916,-0.6191023009825825,-0.6190939493098337
0.10875,0.6313463046247411,-0.6313613123563536,-0.6313527954493777
0.11125,0.6434492494796619,-0.6434645447735641,-0.6434558647337792
0.11375,0.6553934328604113,-0.6554090119427197,-0.6554001709117938
0.11625,0.667175907718465,-0.6671917667452703,-0.6671827669045994
0.11875000000000001,0.6787937669044566,-0.6788099019627827,-0.6788007455329418
0.12125,0.6902441438854736,-0.6902605509942384,-0.6902512402344368
0.12375,0.7015242134523317,-0.7015408885633256,-0.7015314257708557
0.12625,0.7126311924166526,-0.71264813141554,-0.7126385189252052
0.12875,0.7235623402975742,-0.7235795390049066,-0.7235697791884494
0.13125,0.734314959997923,-0.7343324141701786,-0.7343225094356853
