x,u_initial,u_final,u_analytical
0.09775,0.5762894517119141,-0.5754418921139655,-0.5762896887015327
0.09825,0.5788540549955016,-0.578002730309852,-0.5788542930397711
0.09875,0.5814129452232589,-0.5805578638521394,-0.5814131843198298
0.09925,0.5839660971399728,-0.5831072675226907,-0.5839663372864866
0.09975,0.5865134855470646,-0.5856509161599214,-0.5865137267411501
0.10025,0.5890550853028392,-0.5881887846590468,-0.5890553275421159
0.10075,0.5915908713227328,-0.5907208479723293,-0.5915911146048107
0.10125,0.5941208185795616,-0.5932470811093254,-0.5941210629020387
0.10175000000000001,0.5966449021037672,-0.5957674591371344,-0.5966451474642323
0.10225000000000001,0.5991630969836643,-0.5982819571806434,-0.5991633433796953
0.10275000000000001,0.6016753783656861,-0.6007905504227712,-0.6016756257948517
0.10325000000000001,0.6041817214546297,-0.6032932141047148,-0.6041819699144887
0.10375000000000001,0.6066821015139005,-0.6057899235261945,-0.6066823510019994
0.10425,0.6091764938657567,-0.6082806540456962,-0.6091767443796338
0.10475,0.6116648738915531,-0.6107653810807155,-0.6116651254287355
0.10525,0.6141472170319833,-0.6132440801079997,-0.6141474695899897
0.10575,0.6166234987873226,-0.6157167266637897,-0.6166237523636589
0.10625,0.61909369471767,-0.6181832963440624,-0.6190939493098337
0.10675,0.6215577804431884,-0.6206437648047713,-0.6215580360486671
0.10725,0.6240157316443472,-0.6230981077620853,-0.6240159882606187
0.10775,0.6264675240621599,-0.6255463009926306,-0.6264677816866908
0.10825,0.6289131334984253,-0.6279883203337285,-0.6289133921286729
0.10875,0.6313525358159655,-0.6304241416836334,-0.631352795449377
0.10925,0.6337857069388646,-0.6328537410017725,-0.6337859675728789
0.10975,0.6362126228527059,-0.6352770943089818,-0.6362128844847494
0.11025,0.6386332596048089,-0.6376941776877417,-0.6386335222322993
0.11075,0.6410475933044665,-0.6401049672824154,-0.6410478569248119
0.11125,0.6434556001231794,-0.6425094392994827,-0.6434558647337792
0.11175,0.6458572562948927,-0.6449075700077761,-0.6458575218931342
0.11225,0.6482525381162294,-0.6472993357387125,-0.648252804699491
0.11275,0.6506414219467251,-0.6496847128865313,-0.6506416895123759
0.11325,0.6530238842090608,-0.6520636779085215,-0.6530241527544611
0.11375,0.6553999013892956,-0.65443620732526,-0.6554001709117938
0.11425,0.6577694500370995,-0.6568022777208385,-0.6577697205340356
0.11475,0.6601325067659839,-0.6591618657430978,-0.6601327782346882
0.11525,0.6624890482535325,-0.6615149481038564,-0.6624893206913266
0.11575,0.6648390512416327,-0.663861501579142,-0.664839324645827
0.11625,0.6671824925367034,-0.6662015030094185,-0.6671827669045994
0.11675,0.6695193490099253,-0.6685349292998165,-0.6695196243388148
0.11725000000000001,0.6718495975974683,-0.670861757420361,-0.6718498738846355
0.11775000000000001,0.6741732153007197,-0.6731819644061977,-0.6741734925434365
0.11825000000000001,0.6764901791865109,-0.6754955273578208,-0.676490457382041
0.11875000000000001,0.6788004663873436,-0.6778024234412964,-0.6788007455329411
0.11925000000000001,0.6811040541016159,-0.6801026298884929,-0.6811043341945271
0.11975000000000001,0.6834009195938471,-0.6823961239973014,-0.6834012006313065
0.12025,0.6856910401949019,-0.6846828831318602,-0.6856913221741355
0.12075,0.6879743933022147,-0.6869628847227802,-0.6879746762204398
0.12125,0.6902509563800122,-0.689236106267366,-0.6902512402344374
0.12175,0.6925207069595357,-0.6915025253298394,-0.6925209917473584
0.12225,0.6947836226392635,-0.693762119541558,-0.6947839083576731
0.12275,0.6970396810851311,-0.6960148666012401,-0.6970399677313079
0.12325,0.699288860030753,-0.6982607442751813,-0.6992891476018686
0.12375,0.7015311372776406,-0.7004997303974754,-0.7015314257708557
0.12425,0.7037664906954229,-0.7027318028702346,-0.7037667801078904
0.12475,0.7059948982220641,-0.7049569396638028,-0.7059951885509276
0.12525,0.7082163378640813,-0.7071751188169799,-0.7082166291064761
0.12575,0.7104307876967626,-0.709386318437232,-0.7104310798498135
0.12625,0.7126382258643816,-0.711590516700912,-0.7126385189252052
0.12675,0.7148386305804151,-0.7137876918534728,-0.7148389245461187
0.12725,0.7170319801277568,-0.7159778222096829,-0.7170322749954404
0.12775,0.7192182528589321,-0.7181608861538394,-0.7192185486256846
0.12825,0.7213974271963121,-0.7203368621399833,-0.7213977238592141
0.12875,0.7235694816323253,-0.7225057286921094,-0.7235697791884488
0.12925,0.7257343947296717,-0.7246674644043809,-0.7257346931760812
0.12975,0.727892145121533,-0.7268220479413381,-0.7278924444552818
0.13025,0.7300427115117838,-0.7289694580381129,-0.7300430117299175
0.13075,0.7321860726752021,-0.7311096735006335,-0.732186373774758
0.13125,0.7343222074576787,-0.733242673205837,-0.7343225094356859
0.13175,0.7364510947764256,-0.7353684361018787,-0.7364513976299024
0.13225,0.7385727136201843,-0.737486941208336,-0.738573017346142
0.13275,0.7406870430494334,-0.7395981676164197,-0.7406873476448745
0.13325,0.7427940621965953,-0.7417020944891761,-0.7427943676585141
0.13375,0.744893750266241,-0.7437987010616974,-0.744894056591622
0.13425,0.7469860865352976,-0.7458879666413227,-0.7469863937211175
0.13475,0.7490710503532505,-0.747969870607845,-0.7490713583964776
0.13525,0.7511486211423488,-0.750044392413712,-0.7511489300399433
0.13575,0.7532187783978073,-0.7521115115842307,-0.75321908814672
0.13625,0.7552815016880097,-0.7541712077177699,-0.7552818122851835
0.13675,0.75733677065471,-0.7562234604859596,-0.7573370820970794
0.13725,0.7593845650132329,-0.758268249633895,-0.7593848772977249
0.13775,0.7614248645526752,-0.7603055549803314,-0.761425177676207
0.13825,0.7634576491361041,-0.7623353564178877,-0.7634579630955851
0.13875,0.7654828987007565,-0.7643576339132434,-0.765483213493088
0.13925,0.7675005932582363,-0.7663723675073363,-0.7675009088803124
0.13975,0.7695107128947135,-0.768379537315559,-0.7695110293434182
0.14025,0.7715132377711182,-0.7703791235279557,-0.7715135550433285
0.14075000000000001,0.7735081481233388,-0.7723711064094174,-0.7735084662159226
0.14125000000000001,0.7754954242624152,-0.7743554662998777,-0.7754957431722348
0.14175000000000001,0.7774750465747344,-0.7763321836145055,-0.7774753662986411
0.14225000000000002,0.7794469955222231,-0.7783012388439,-0.7794473160570616
0.14275000000000002,0.7814112516425417,-0.7802626125542794,-0.7814115729851476
0.14325000000000002,0.7833677955492749,-0.7822162853876777,-0.7833681176964786
