x,u_initial,u_final
0.00625,0.0392497255962477,0.03430529084205104
0.018750000000000003,0.11750718917858402,0.11254132277747693
0.03125,0.1950401818645288,0.19009113748358433
0.043750000000000004,0.27137068697183686,0.2664722735939487
0.05625,0.3460281015540529,0.3412099492189026
0.06875,0.41855213782416856,0.4138408017630361
0.08125,0.48849566098188835,0.4839158660600862
0.09375,0.5554274459483638,0.5510032951403169
0.10625000000000001,0.6189348360121993,0.6146914314302246
0.11875000000000001,0.6786262869953005,0.674592674976831
0.13125,0.7341337812529372,0.730348197284431
0.14375000000000002,0.785115096624894,0.7816329534939755
0.15625,0.8312559163488955,0.828159678773797
0.16875,0.8722717669279642,0.869679591583639
0.18125000000000002,0.9079097720041254,0.9059761647885776
0.19375,0.9379502114252454,0.9368458453269105
0.20625000000000002,0.9622078758928332,0.9620539954088929
0.21875,0.9805332088389541,0.9812410347306428
0.23125,0.9928132284922039,0.9937272747940973
0.24375000000000002,0.9989722244478969,0.9983363430851442
0.25625000000000003,0.9989722244478947,0.9971931680986384
0.26875,0.9928132284921994,0.990831745612975
0.28125,0.9805332088389498,0.9788145013896263
0.29375,0.962207875892829,0.9611015671392428
0.30625,0.937950211425241,0.9376718698839022
0.31875000000000003,0.9079097720041213,0.9085474225979354
0.33125000000000004,0.8722717669279603,0.8737924804900983
0.34375,0.831255916348892,0.8335388459987308
0.35625,0.7851150966248904,0.7879931464230253
0.36875,0.7341337812529342,0.7374351692273136
0.38125000000000003,0.6786262869952983,0.6822072485927755
0.39375000000000004,0.6189348360121965,0.6226978824300493
0.40625,0.5554274459483614,0.5593241212512017
0.41875,0.48849566098188624,0.4925167800323067
0.43125,0.4185521378241668,0.4227110571691871
0.44375000000000003,0.3460281015540516,0.3503431416289706
0.45625000000000004,0.2713706869718358,0.27585156306551323
0.46875,0.19504018186452823,0.1996809413234516
0.48125,0.11750718917858373,0.12228563824101389
0.49375,0.039249725596247675,0.04413146919768488
0.50625,-0.03924972559624743,-0.03430529084205065
0.51875,-0.1175071891785837,-0.11254132277747668
0.53125,-0.195040181864528,-0.190091137483584
0.5437500000000001,-0.27137068697183614,-0.2664722735939481
0.55625,-0.34602810155405156,-0.34120994921890163
0.56875,-0.4185521378241666,-0.4138408017630351
0.58125,-0.48849566098188624,-0.4839158660600853
0.59375,-0.5554274459483611,-0.5510032951403158
0.6062500000000001,-0.6189348360121968,-0.6146914314302235
0.61875,-0.6786262869952983,-0.674592674976829
0.6312500000000001,-0.7341337812529343,-0.7303481972844281
0.64375,-0.7851150966248907,-0.7816329534939721
0.65625,-0.8312559163488916,-0.828159678773793
0.6687500000000001,-0.8722717669279603,-0.869679591583635
0.68125,-0.9079097720041213,-0.9059761647885736
0.6937500000000001,-0.9379502114252414,-0.936845845326907
0.70625,-0.962207875892829,-0.9620539954088898
0.71875,-0.9805332088389498,-0.9812410347306403
0.7312500000000001,-0.9928132284921996,-0.9937272747940948
0.74375,-0.9989722244478947,-0.998336343085142
0.7562500000000001,-0.9989722244478947,-0.9971931680986367
0.76875,-0.9928132284921994,-0.9908317456129738
0.78125,-0.9805332088389498,-0.9788145013896262
0.7937500000000001,-0.9622078758928289,-0.9611015671392436
0.80625,-0.937950211425241,-0.9376718698839035
0.8187500000000001,-0.9079097720041213,-0.9085474225979369
0.83125,-0.8722717669279603,-0.8737924804900998
0.84375,-0.831255916348892,-0.8335388459987323
0.8562500000000001,-0.7851150966248901,-0.7879931464230264
0.86875,-0.7341337812529342,-0.7374351692273144
0.8812500000000001,-0.678626286995298,-0.6822072485927761
0.89375,-0.6189348360121966,-0.6226978824300499
0.90625,-0.5554274459483617,-0.559324121251202
0.9187500000000001,-0.4884956609818862,-0.492516780032307
0.93125,-0.4185521378241667,-0.4227110571691871
0.9437500000000001,-0.3460281015540513,-0.35034314162897046
0.95625,-0.27137068697183586,-0.27585156306551295
0.96875,-0.19504018186452812,-0.19968094132345124
0.9812500000000001,-0.11750718917858317,-0.12228563824101352
0.99375,-0.039249725596247585,-0.044131469197684445
